COMPONENT,DC_VOLTAGE_SOURCE,V1,740,260,820,260,0,5
COMPONENT,RESISTOR,R1,540,260,620,260,0,1k
COMPONENT,RESISTOR,R2,360,200,440,200,0,1k
COMPONENT,RESISTOR,R3,360,320,440,320,0,1k
WIRE,740,260,620,260
WIRE,540,260,480,260
WIRE,480,260,480,200
WIRE,480,200,440,200
WIRE,360,200,320,200
WIRE,320,200,320,260
WIRE,360,320,320,320
WIRE,320,320,320,260
WIRE,320,260,240,260
WIRE,240,260,240,500
WIRE,480,260,480,320
WIRE,480,320,440,320
WIRE,820,260,900,260
WIRE,900,260,900,500
WIRE,900,500,660,500
WIRE,660,500,660,560
WIRE,240,500,480,500
WIRE,480,500,480,560
WIRE,680,260,680,160
LABEL,GND,680,160,0
